input,head,n_folds,dim,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,best_param_modal,best_param_freq,best_param_ndistinct
img_rgb_vpa_swin,mlp_fixed,30,768,0.6026984126984128,0.17079435277791205,0.6395833333333333,0.19953775005576765,0.6125000000000002,0.1518237419764345,0.6561111111111112,0.21877766199849438,0.6305555555555556,0.2539754163946237,0.5999999999999999,0.27974399900774083,"{""dropout"": 0.5, ""weight_decay"": 0.001}",16/30,4
img_rgb_vpz_effnet,mlp_fixed,30,1280,0.6015343915343915,0.22340796458660558,0.6725694444444444,0.24467024888868608,0.6363095238095239,0.14654141792906392,0.6144444444444445,0.2277969340603715,0.625,0.2808972351323182,0.65,0.1925330244847397,"{""dropout"": 0.3, ""weight_decay"": 0.001}",16/30,3
img_rgb_vpz_swin,svm_linear,30,768,0.5995069745069745,0.20120886425109044,0.65,0.19948148782449548,0.6482142857142857,0.15497766632134313,0.7168253968253969,0.26693477998659526,0.5888888888888889,0.2634625513507377,0.7138888888888889,0.30535085445554355,"{""C"": 0.003}",17/30,3
img_rgb_vpa_vit,mlp_fixed,30,768,0.5960582010582011,0.25482933214256787,0.6201388888888889,0.2383971343079284,0.6238095238095238,0.21809692314763393,0.6461111111111111,0.2925211893734184,0.6027777777777777,0.3029890471742091,0.6527777777777778,0.25340906813092423,"{""dropout"": 0.3, ""weight_decay"": 0.001}",12/30,4
img_raw_swin,svm_linear,30,768,0.5958465608465608,0.15577359852914727,0.6999999999999998,0.15595997988481053,0.6166666666666668,0.14812733615902837,0.673888888888889,0.2178211212634226,0.5944444444444446,0.21634960591497684,0.6583333333333333,0.24793206027742754,"{""C"": 0.01}",15/30,3
img_pressure_swin,random_forest,30,768,0.5952116402116403,0.16161788703697874,0.6631944444444444,0.1787203185620541,0.6166666666666668,0.12607152741917355,0.6322222222222222,0.1759448131287822,0.6083333333333335,0.2265326683028942,0.6361111111111111,0.18631757861825907,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 100}",7/30,7
img_rgb_vpa_swin,random_forest,30,768,0.5951851851851853,0.21464442531181668,0.6749999999999999,0.19455901113096905,0.6297619047619049,0.17185224056549211,0.6505555555555557,0.25470602592479236,0.5916666666666668,0.24305487137287393,0.6750000000000002,0.25647738953170157,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",7/30,8
img_rgb_vpz_vit,mlp_fixed,30,768,0.5944973544973544,0.2315780120358573,0.6496527777777779,0.22432321808091735,0.6089285714285713,0.20002583840835192,0.6033333333333334,0.21497571813340496,0.6333333333333332,0.2957230246018958,0.5888888888888888,0.23049726909450693,"{""dropout"": 0.5, ""weight_decay"": 0.001}",18/30,3
img_rgb_vpz_effnet,mlp_small,30,1280,0.5941005291005291,0.23516188696384469,0.6604166666666667,0.24529516878158486,0.6321428571428572,0.16650091452919108,0.6077777777777776,0.23369156955422077,0.6194444444444444,0.29089251393179255,0.6444444444444444,0.2504147262469366,"{""dropout"": 0.5, ""weight_decay"": 0.001}",15/30,3
img_pressure_vit,mlp_small,30,768,0.5938455988455988,0.24635356473386258,0.6552083333333332,0.21973726992057036,0.6238095238095238,0.18769391411354167,0.6116666666666666,0.2708903068964902,0.6222222222222221,0.28762248210014957,0.6305555555555556,0.27998643006708623,"{""dropout"": 0.5, ""weight_decay"": 0.001}",15/30,4
vid_effort_r2plus1d,random_forest,30,512,0.5938455988455988,0.25086212485805665,0.6875,0.19148854792042874,0.643452380952381,0.15746463733270838,0.6573809523809524,0.281694734647334,0.6027777777777779,0.3084718028102262,0.6916666666666667,0.24087762588364453,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""n_estimators"": 100}",8/30,6
